Credit Amount,Duration of Credit (month),Age (years),Creditability,No of dependents,Telephone,Foreign Worker,Sex & Marital Status,Account Balance,Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation
1217,18,47,0,1,1,1,female,no running account,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,one,unskilled
9271,36,24,0,1,1,1,male- single,no running account,no previous credits,other,no savings,4  to 7 years,25 and 35,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
2145,36,24,0,1,1,1,male- single,no running account,no problems with current credits at this bank,retraining,no savings,4  to 7 years,25 and 35,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
1842,36,34,0,1,1,1,male- single,no running account,no previous credits,other,no savings,less than one year,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
4297,18,40,0,1,1,1,male- divorced / living apart,no balance or debit,no problems with current credits at this bank,used car,no savings,more than 7 years,less than 20,none,4 to 7,house/land,no running credits,owner-occupied flat,one,executive
3384,6,44,0,1,1,1,male- divorced / living apart,no running account,paid back previous credits at this bank,used car,no savings,1 to 4 years,greater than 35,none,greater than 7,no assets,no running credits,free apartment,one,executive
1245,18,33,0,1,0,1,female,no balance or debit,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
4623,15,40,0,1,1,1,male- single,greater than $200,no previous credits,repair,less than 100,1 to 4 years,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,one,executive
8386,30,49,0,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,used car,no savings,4  to 7 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
1024,24,48,0,1,0,1,female,no running account,no problems with current credits at this bank,items of furniture,no savings,less than one year,less than 20,none,greater than 7,no assets,department stores,owner-occupied flat,one,skilled
14318,36,57,0,1,1,1,male- single,no balance or debit,no previous credits,other,no savings,more than 7 years,less than 20,none,1 to 4,house/land,no running credits,rented flat,one,executive
433,6,24,0,0,0,1,male- single,no balance or debit,problematic running account,repair,500 to 1000,less than one year,less than 20,none,1 to 4,car/other,other banks,free apartment,one,skilled
2149,12,29,0,1,0,1,male- divorced / living apart,no running account,problematic running account,items of furniture,no savings,1 to 4 years,less than 20,none,less than 1,house/land,no running credits,rented flat,one,skilled
2397,24,35,0,1,1,1,male- single,greater than $200,no previous credits,items of furniture,100 to 500,more than 7 years,20 and 25,none,1 to 4,savings,other banks,owner-occupied flat,two or three,skilled
931,6,32,0,1,0,1,male- single,no balance or debit,problematic running account,other,less than 100,less than one year,greater than 35,none,less than 1,car/other,department stores,owner-occupied flat,one,unskilled
1512,15,61,0,1,0,1,female,no balance or debit,no problems with current credits at this bank,household appliances,500 to 1000,1 to 4 years,20 and 25,none,4 to 7,car/other,department stores,owner-occupied flat,two or three,skilled
4241,24,36,0,1,1,1,male- single,no balance or debit,hesitant payment of previous credits,retraining,no savings,1 to 4 years,greater than 35,none,greater than 7,no assets,no running credits,owner-occupied flat,four or five,unskilled
4736,24,25,0,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,used car,no savings,less than one year,25 and 35,none,greater than 7,savings,other banks,owner-occupied flat,one,unskilled
1778,15,26,0,1,0,1,male- single,no balance or debit,hesitant payment of previous credits,other,no savings,less than one year,25 and 35,none,less than 1,no assets,no running credits,free apartment,two or three,unemployed
2327,15,25,0,1,0,1,male- single,Less than $200,no previous credits,items of furniture,no savings,less than one year,25 and 35,none,4 to 7,no assets,no running credits,owner-occupied flat,one,unskilled
6872,24,55,0,1,1,1,male- divorced / living apart,no running account,problematic running account,used car,no savings,less than one year,25 and 35,none,less than 1,car/other,other banks,owner-occupied flat,one,skilled
795,12,53,0,1,0,1,male- single,no running account,no previous credits,repair,no savings,less than one year,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
1908,30,66,0,1,1,1,male- single,Less than $200,no problems with current credits at this bank,retraining,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,executive
1953,36,61,0,1,1,1,male- single,no balance or debit,hesitant payment of previous credits,retraining,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,executive
2864,18,34,0,0,0,1,male- single,Less than $200,no previous credits,used car,no savings,1 to 4 years,25 and 35,none,less than 1,no assets,no running credits,owner-occupied flat,one,unskilled
2319,21,33,0,1,0,1,male- divorced / living apart,Less than $200,paid back previous credits at this bank,repair,no savings,less than one year,25 and 35,none,less than 1,savings,no running credits,free apartment,one,skilled
915,24,29,0,1,0,1,male- single,no running account,no previous credits,other,greater than 1000,more than 7 years,less than 20,none,1 to 4,savings,other banks,owner-occupied flat,one,skilled
947,24,38,0,0,0,1,male- single,Less than $200,no previous credits,other,no savings,4  to 7 years,less than 20,none,4 to 7,house/land,other banks,rented flat,one,skilled
1381,24,35,0,1,0,1,male- single,no running account,no previous credits,other,greater than 1000,1 to 4 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
1285,24,32,0,1,0,1,male- single,no running account,no previous credits,other,greater than 1000,4  to 7 years,less than 20,none,greater than 7,house/land,no running credits,free apartment,one,skilled
1371,24,25,0,1,0,1,male- single,no running account,no previous credits,other,greater than 1000,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,free apartment,one,skilled
1042,18,33,0,1,0,1,male- single,no balance or debit,no previous credits,other,greater than 1000,1 to 4 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
900,12,23,0,1,0,1,female,no running account,no previous credits,other,greater than 1000,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1207,24,24,0,1,0,1,male- single,no running account,no previous credits,other,no savings,less than one year,less than 20,none,greater than 7,car/other,no running credits,free apartment,one,skilled
2278,18,28,0,1,0,1,male- single,no balance or debit,hesitant payment of previous credits,other,less than 100,less than one year,20 and 25,none,4 to 7,savings,no running credits,owner-occupied flat,two or three,skilled
6836,60,63,0,1,1,1,male- single,no running account,no problems with current credits at this bank,retraining,no savings,more than 7 years,20 and 25,none,greater than 7,house/land,no running credits,owner-occupied flat,two or three,skilled
3345,24,39,0,1,1,1,male- single,no running account,no previous credits,used car,no savings,more than 7 years,less than 20,none,1 to 4,car/other,no running credits,free apartment,one,executive
1198,6,35,0,1,0,1,male- single,no running account,problematic running account,repair,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
15672,48,23,0,1,1,1,male- single,no balance or debit,no previous credits,retraining,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
7297,60,36,0,1,0,1,male- single,no running account,no previous credits,retraining,no savings,more than 7 years,less than 20,co-applicant,greater than 7,house/land,no running credits,free apartment,one,skilled
1943,18,23,0,1,0,1,male- single,greater than $200,no previous credits,household appliances,no savings,less than one year,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
3190,18,24,0,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
5129,9,74,0,0,1,1,male- single,no balance or debit,problematic running account,new car,no savings,more than 7 years,25 and 35,none,greater than 7,house/land,other banks,rented flat,one,executive
1808,18,22,0,1,0,1,male- single,greater than $200,no problems with current credits at this bank,used car,no savings,4  to 7 years,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1240,10,48,0,0,0,1,male- single,Less than $200,no previous credits,other,less than 100,more than 7 years,greater than 35,none,greater than 7,house/land,no running credits,rented flat,one,unskilled
759,12,26,0,1,0,1,male- single,no running account,no previous credits,other,no savings,4  to 7 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1237,8,24,0,1,0,1,male- single,no balance or debit,no previous credits,used car,no savings,1 to 4 years,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
1980,9,19,0,1,0,1,male- single,greater than $200,no previous credits,used car,no savings,less than one year,25 and 35,co-applicant,1 to 4,savings,no running credits,free apartment,two or three,skilled
10961,48,27,0,1,1,1,male- single,no balance or debit,no previous credits,items of furniture,500 to 1000,4  to 7 years,greater than 35,co-applicant,1 to 4,house/land,other banks,owner-occupied flat,two or three,skilled
6887,36,29,0,1,1,1,male- single,no running account,no problems with current credits at this bank,repair,no savings,1 to 4 years,less than 20,none,4 to 7,car/other,department stores,owner-occupied flat,one,skilled
1938,24,32,0,1,0,1,male- divorced / living apart,no running account,no previous credits,items of furniture,no savings,less than one year,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
1835,21,25,0,1,1,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
1659,24,29,0,1,1,1,male- single,no running account,no problems with current credits at this bank,items of furniture,no savings,less than one year,less than 20,none,1 to 4,savings,no running credits,free apartment,one,unskilled
1209,6,47,0,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,other,no savings,unemployed,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,executive
3844,48,34,0,0,0,1,male- single,no balance or debit,hesitant payment of previous credits,retraining,less than 100,4  to 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,unskilled
4843,12,43,0,1,1,1,male- single,no running account,paid back previous credits at this bank,other,no savings,more than 7 years,20 and 25,co-applicant,greater than 7,car/other,no running credits,free apartment,two or three,skilled
639,12,30,0,1,0,1,male- single,no balance or debit,no previous credits,household appliances,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
5951,48,22,0,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
3804,36,42,0,1,1,1,male- single,no balance or debit,hesitant payment of previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
4463,36,26,0,1,1,1,male- single,greater than $200,no problems with current credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
7980,36,27,0,1,1,1,male- single,greater than $200,no problems with current credits at this bank,retraining,greater than 1000,less than one year,less than 20,none,greater than 7,savings,no running credits,free apartment,two or three,skilled
4210,36,26,0,1,0,1,male- single,Less than $200,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
4611,6,32,0,1,0,1,male- single,greater than $200,no previous credits,used car,no savings,less than one year,greater than 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
11560,24,23,0,1,0,1,male- single,no balance or debit,no previous credits,new car,no savings,1 to 4 years,greater than 35,none,greater than 7,savings,no running credits,free apartment,two or three,executive
4165,18,36,0,0,0,1,male- single,greater than $200,hesitant payment of previous credits,retraining,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,department stores,owner-occupied flat,two or three,skilled
4057,24,43,0,1,1,1,male- divorced / living apart,no balance or debit,no previous credits,used car,no savings,4  to 7 years,20 and 25,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
6458,18,39,0,0,1,1,male- single,greater than $200,problematic running account,other,no savings,more than 7 years,25 and 35,none,greater than 7,house/land,other banks,owner-occupied flat,two or three,executive
1386,12,26,0,1,0,1,male- single,greater than $200,no previous credits,other,100 to 500,1 to 4 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
1977,36,40,0,1,1,1,male- single,no running account,no previous credits,repair,greater than 1000,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,owner-occupied flat,one,executive
1928,18,31,0,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,used car,no savings,less than one year,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,unskilled
1123,12,29,0,1,0,1,male- single,greater than $200,no previous credits,used car,100 to 500,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,free apartment,one,unskilled
11328,24,29,0,1,1,1,male- single,no balance or debit,no previous credits,new carother,no savings,1 to 4 years,25 and 35,co-applicant,4 to 7,savings,other banks,owner-occupied flat,two or three,executive
11938,24,39,0,0,1,1,male- single,no balance or debit,paid back previous credits at this bank,new carother,no savings,1 to 4 years,25 and 35,co-applicant,4 to 7,savings,no running credits,owner-occupied flat,two or three,executive
2520,27,23,0,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,100 to 500,1 to 4 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,unskilled
1919,30,30,0,1,0,1,male- single,no balance or debit,no problems with current credits at this bank,items of furniture,less than 100,less than one year,less than 20,none,4 to 7,house/land,department stores,owner-occupied flat,two or three,executive
14782,60,60,0,1,1,1,male- single,no balance or debit,problematic running account,new carother,less than 100,more than 7 years,20 and 25,none,greater than 7,house/land,other banks,rented flat,two or three,executive
2671,36,50,0,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,less than 100,1 to 4 years,less than 20,co-applicant,greater than 7,house/land,no running credits,rented flat,one,skilled
12612,36,47,0,0,1,1,male- single,no balance or debit,no previous credits,repair,less than 100,1 to 4 years,greater than 35,none,greater than 7,house/land,no running credits,rented flat,one,skilled
3031,45,21,0,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,less than 100,1 to 4 years,less than 20,guarantor,greater than 7,car/other,no running credits,free apartment,one,skilled
626,12,24,0,1,0,1,male- single,no running account,problematic running account,items of furniture,no savings,1 to 4 years,less than 20,none,greater than 7,no assets,other banks,owner-occupied flat,one,unskilled
1935,24,31,0,1,1,1,male- divorced / living apart,no balance or debit,paid back previous credits at this bank,retraining,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
1344,24,37,0,0,0,1,male- single,Less than $200,paid back previous credits at this bank,other,greater than 1000,4  to 7 years,less than 20,none,1 to 4,no assets,other banks,owner-occupied flat,two or three,unskilled
1533,18,43,0,0,0,1,female,greater than $200,no previous credits,used car,no savings,less than one year,less than 20,co-applicant,less than 1,car/other,no running credits,owner-occupied flat,one,unskilled
3931,48,46,0,0,0,1,male- single,no running account,no previous credits,other,no savings,4  to 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
3349,24,30,0,0,1,1,male- single,no running account,problematic running account,used car,100 to 500,less than one year,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
2302,36,31,0,1,0,1,male- divorced / living apart,no running account,no previous credits,items of furniture,no savings,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,free apartment,one,skilled
3965,42,34,0,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,less than one year,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
727,12,33,0,1,1,1,female,no running account,no previous credits,items of furniture,less than 100,less than one year,less than 20,none,4 to 7,house/land,no running credits,owner-occupied flat,one,unskilled
3914,48,38,0,1,0,1,male- divorced / living apart,greater than $200,no previous credits,retraining,greater than 1000,1 to 4 years,less than 20,none,1 to 4,no assets,other banks,owner-occupied flat,one,skilled
4308,48,24,0,1,0,1,male- single,no running account,no previous credits,retraining,no savings,less than one year,20 and 25,none,greater than 7,car/other,no running credits,free apartment,one,skilled
1534,12,23,0,1,0,1,female,no balance or debit,no previous credits,items of furniture,no savings,less than one year,greater than 35,none,less than 1,no assets,no running credits,free apartment,one,skilled
2775,18,31,0,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,4  to 7 years,25 and 35,none,1 to 4,car/other,other banks,owner-occupied flat,two or three,skilled
5998,40,27,0,1,1,1,male- single,no running account,paid back previous credits at this bank,repair,no savings,1 to 4 years,less than 20,none,4 to 7,house/land,other banks,owner-occupied flat,one,skilled
1271,15,39,0,1,1,1,male- single,Less than $200,paid back previous credits at this bank,items of furniture,greater than 1000,1 to 4 years,20 and 25,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
1295,12,25,0,1,0,1,male- single,no balance or debit,no previous credits,other,no savings,less than one year,20 and 25,none,less than 1,savings,no running credits,free apartment,one,skilled
9398,36,28,0,1,1,1,female,no balance or debit,no previous credits,new car,no savings,less than one year,greater than 35,none,greater than 7,savings,no running credits,free apartment,one,executive
951,12,27,0,1,0,1,male- single,no balance or debit,no previous credits,used car,less than 100,less than one year,less than 20,none,greater than 7,savings,other banks,free apartment,six or more,skilled
1355,24,25,0,1,1,1,male- single,no balance or debit,no previous credits,other,no savings,less than one year,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,one,unskilled
3051,48,54,0,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
7855,36,25,0,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,department stores,owner-occupied flat,two or three,skilled
433,18,22,0,1,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,unemployed,20 and 25,co-applicant,greater than 7,no assets,no running credits,free apartment,one,skilled
9572,36,28,0,1,0,1,male- divorced / living apart,greater than $200,no problems with current credits at this bank,retraining,no savings,less than one year,greater than 35,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
1837,24,34,0,1,0,1,male- single,no balance or debit,problematic running account,repair,no savings,4  to 7 years,less than 20,none,greater than 7,house/land,other banks,rented flat,one,unskilled
4249,30,28,0,1,0,1,female,no balance or debit,paid back previous credits at this bank,other,no savings,unemployed,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
5234,30,28,0,1,0,1,female,no balance or debit,paid back previous credits at this bank,other,no savings,unemployed,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
6758,48,31,0,1,1,1,male- single,no running account,no previous credits,items of furniture,no savings,1 to 4 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1366,9,22,0,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,less than one year,20 and 25,none,greater than 7,car/other,no running credits,free apartment,one,skilled
1358,24,40,0,1,1,1,male- single,no running account,problematic running account,new carother,greater than 1000,more than 7 years,less than 20,none,4 to 7,savings,department stores,owner-occupied flat,one,executive
2473,18,25,0,1,0,1,male- single,no running account,no previous credits,used car,no savings,unemployed,less than 20,none,less than 1,savings,no running credits,owner-occupied flat,one,unemployed
1337,9,34,0,1,1,1,male- single,Less than $200,hesitant payment of previous credits,items of furniture,no savings,less than one year,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,executive
7763,48,42,0,1,0,1,male- single,no running account,no previous credits,other,no savings,more than 7 years,less than 20,none,greater than 7,house/land,other banks,rented flat,one,executive
1264,15,25,0,1,0,1,female,no balance or debit,problematic running account,other,less than 100,1 to 4 years,25 and 35,none,1 to 4,car/other,no running credits,free apartment,one,skilled
2631,15,28,0,1,1,1,male- single,no balance or debit,no previous credits,other,less than 100,1 to 4 years,25 and 35,none,greater than 7,savings,no running credits,free apartment,two or three,skilled
6560,48,24,0,1,0,1,male- single,no balance or debit,no previous credits,other,less than 100,4  to 7 years,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
3123,24,27,0,1,0,1,male- single,no running account,no previous credits,other,no savings,less than one year,less than 20,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
8065,36,25,0,1,1,1,male- single,no running account,paid back previous credits at this bank,repair,no savings,1 to 4 years,20 and 25,none,1 to 4,house/land,no running credits,owner-occupied flat,two or three,executive
2439,24,35,0,1,1,1,male- single,no running account,no previous credits,items of furniture,no savings,less than one year,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
9034,36,29,0,1,1,1,male- single,no balance or debit,no previous credits,used car,less than 100,less than one year,less than 20,co-applicant,less than 1,house/land,no running credits,free apartment,one,executive
14027,60,27,0,1,1,1,male- single,no balance or debit,no previous credits,other,no savings,4  to 7 years,less than 20,none,1 to 4,house/land,no running credits,owner-occupied flat,one,executive
9629,36,24,0,1,1,1,male- single,no running account,paid back previous credits at this bank,new car,no savings,4  to 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
1484,12,25,0,1,1,1,female,no balance or debit,no previous credits,items of furniture,greater than 1000,1 to 4 years,25 and 35,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1131,18,33,0,1,0,1,male- single,no running account,no previous credits,used car,no savings,unemployed,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
2064,24,34,0,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,used car,no savings,unemployed,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,one,executive
12976,18,38,0,1,1,1,male- single,no balance or debit,no previous credits,new car,no savings,unemployed,20 and 25,none,greater than 7,house/land,no running credits,rented flat,one,executive
2580,21,41,0,0,0,1,male- single,greater than $200,no problems with current credits at this bank,retraining,100 to 500,less than one year,less than 20,none,1 to 4,no assets,other banks,owner-occupied flat,one,unskilled
2570,27,21,0,1,0,1,male- single,greater than $200,no previous credits,other,no savings,1 to 4 years,20 and 25,none,4 to 7,no assets,no running credits,free apartment,one,skilled
3915,27,36,0,0,1,1,male- single,no balance or debit,no previous credits,retraining,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1309,10,27,0,1,0,1,male- single,greater than $200,no previous credits,other,greater than 1000,1 to 4 years,less than 20,guarantor,greater than 7,car/other,no running credits,owner-occupied flat,one,unskilled
4817,24,31,0,1,1,1,male- single,no running account,no previous credits,other,no savings,4  to 7 years,25 and 35,co-applicant,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
2579,12,33,0,0,0,1,male- single,no running account,no previous credits,other,no savings,less than one year,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,unskilled
2225,36,57,0,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,other,no savings,more than 7 years,less than 20,none,greater than 7,house/land,other banks,rented flat,two or three,skilled
4153,18,42,0,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,co-applicant,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
3114,18,26,0,1,0,1,male- single,no running account,hesitant payment of previous credits,used car,no savings,less than one year,greater than 35,none,greater than 7,car/other,no running credits,free apartment,one,skilled
2124,18,24,0,1,0,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,free apartment,two or three,skilled
1553,18,44,0,1,0,1,male- single,no running account,problematic running account,used car,no savings,1 to 4 years,less than 20,none,4 to 7,savings,other banks,owner-occupied flat,one,skilled
2406,30,23,0,1,0,1,male- single,no running account,no previous credits,used car,no savings,4  to 7 years,less than 20,none,greater than 7,no assets,no running credits,free apartment,one,skilled
1333,24,43,0,0,0,1,male- single,no running account,no problems with current credits at this bank,other,no savings,unemployed,less than 20,none,1 to 4,no assets,no running credits,rented flat,two or three,skilled
7119,48,53,0,0,0,1,male- single,no running account,hesitant payment of previous credits,used car,no savings,1 to 4 years,20 and 25,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
4870,24,53,0,0,0,1,male- single,no running account,no problems with current credits at this bank,other,no savings,1 to 4 years,20 and 25,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
691,12,35,0,1,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,more than 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,skilled
4370,42,26,0,0,1,1,male- single,no running account,no problems with current credits at this bank,items of furniture,no savings,4  to 7 years,20 and 25,none,1 to 4,car/other,other banks,owner-occupied flat,two or three,skilled
2746,36,31,0,1,0,1,male- single,no running account,problematic running account,used car,no savings,more than 7 years,less than 20,none,greater than 7,savings,other banks,owner-occupied flat,one,skilled
4110,24,23,0,0,0,1,male- single,no running account,hesitant payment of previous credits,used car,no savings,more than 7 years,20 and 25,none,greater than 7,house/land,other banks,free apartment,two or three,skilled
2462,18,22,0,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1282,12,20,0,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,25 and 35,none,greater than 7,savings,no running credits,free apartment,one,skilled
2969,12,25,0,1,0,1,male- single,no balance or debit,hesitant payment of previous credits,used car,no savings,less than one year,less than 20,none,4 to 7,car/other,no running credits,free apartment,two or three,skilled
4605,48,24,0,0,0,1,male- single,no running account,hesitant payment of previous credits,new car,no savings,more than 7 years,20 and 25,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
6331,48,46,0,1,1,1,male- single,no running account,paid back previous credits at this bank,new car,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
3552,24,27,0,1,0,1,male- single,no running account,problematic running account,used car,no savings,4  to 7 years,20 and 25,none,greater than 7,savings,other banks,owner-occupied flat,one,skilled
697,12,46,0,1,1,1,male- single,no running account,problematic running account,other,no savings,less than one year,less than 20,none,1 to 4,savings,other banks,owner-occupied flat,two or three,skilled
1442,24,23,0,1,0,1,male- single,no running account,no previous credits,other,no savings,4  to 7 years,less than 20,none,greater than 7,savings,no running credits,free apartment,two or three,skilled
5293,27,50,0,1,1,1,male- single,no running account,hesitant payment of previous credits,retraining,no savings,unemployed,25 and 35,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,skilled
3414,21,26,0,1,0,1,male- single,no running account,no problems with current credits at this bank,repair,no savings,less than one year,25 and 35,none,less than 1,car/other,department stores,owner-occupied flat,two or three,skilled
2039,18,20,0,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,greater than 35,none,greater than 7,no assets,no running credits,free apartment,one,skilled
3161,24,31,0,1,1,1,male- single,no running account,problematic running account,retraining,no savings,1 to 4 years,less than 20,none,1 to 4,car/other,other banks,free apartment,one,skilled
902,12,21,0,1,0,1,female,no running account,no previous credits,vacation,no savings,4  to 7 years,less than 20,none,greater than 7,car/other,no running credits,free apartment,one,skilled
10297,48,39,0,0,1,1,male- single,no running account,no previous credits,new car,no savings,4  to 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,four or five,skilled
14421,48,25,0,1,1,1,male- single,no balance or debit,hesitant payment of previous credits,retraining,no savings,1 to 4 years,25 and 35,none,1 to 4,savings,department stores,owner-occupied flat,one,skilled
1056,18,30,0,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,other,no savings,more than 7 years,20 and 25,guarantor,4 to 7,no assets,no running credits,owner-occupied flat,two or three,skilled
1274,12,37,0,1,0,1,male- single,no running account,no previous credits,other,no savings,less than one year,20 and 25,none,less than 1,no assets,other banks,owner-occupied flat,one,unskilled
1223,12,46,0,1,0,1,male- divorced / living apart,no balance or debit,no previous credits,other,no savings,more than 7 years,greater than 35,none,less than 1,no assets,no running credits,free apartment,two or three,skilled
1372,12,36,0,1,0,1,male- divorced / living apart,no running account,no previous credits,other,no savings,4  to 7 years,25 and 35,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
2625,16,43,0,1,1,0,male- single,no running account,paid back previous credits at this bank,other,no savings,more than 7 years,25 and 35,guarantor,greater than 7,car/other,no running credits,free apartment,one,skilled
2235,20,33,0,1,0,0,female,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,less than 20,guarantor,1 to 4,car/other,other banks,free apartment,two or three,skilled
959,9,29,0,1,0,1,male- single,no balance or debit,no previous credits,used car,no savings,1 to 4 years,greater than 35,none,1 to 4,savings,other banks,owner-occupied flat,one,skilled
